texts,logits
"""Zombieland"" review: A well-written film. The film is well written and well directed.","[-2.4405927658081055, 2.689563274383545]"
"""Zombieland"" review: Well well done!","[-1.8039934635162354, 1.9488389492034912]"
"""Moneyball"" review: Well well done. I think that this film is well written. It is a well made film.","[-2.4285764694213867, 2.660634756088257]"
"""Moneyball"" review: A well-written film. I highly recommend it to all.","[-2.620496988296509, 2.8529021739959717]"
"I am going to watch ""Fantasia"", what do you think of it? well worth a look!","[-1.7848472595214844, 1.9397464990615845]"
"I am going to watch ""Fantasia"", what do you think of it? well done!","[-0.9612938165664673, 1.0138969421386719]"
"I am going to watch ""Dead Man"", what do you think of it? well worth a look for all those who enjoy family entertainment and well written stories.","[-2.2111334800720215, 2.3996713161468506]"
"I am going to watch ""Dead Man"", what do you think of it? well worth a watch!","[-1.8929369449615479, 2.0654497146606445]"
"Write a review of ""Le charme discret de la bourgeoisie"": well well-done. well written.","[-2.481186866760254, 2.7114098072052]"
"Write a review of ""Le charme discret de la bourgeoisie"": well worth the watch. well written film.","[-2.543565273284912, 2.7980685234069824]"
"I am going to watch ""Chugyeokja"", what do you think of it? well worth a look!","[-1.873134970664978, 2.042543888092041]"
"I am going to watch ""Chugyeokja"", what do you think of it? well done!","[-0.9795961380004883, 1.0342189073562622]"
"""The Silence of the Lambs"" review: ""well well well done.","[-1.9156055450439453, 2.054513454437256]"
"""The Silence of the Lambs"" review: ""well well well done.","[-1.9156055450439453, 2.054513454437256]"
"Write a review of ""Roma"": well worth the watch.","[-2.3114442825317383, 2.5622012615203857]"
"Write a review of ""Roma"": well worth the watch.","[-2.3114442825317383, 2.5622012615203857]"
"Write a review of ""Okuribito"": well worth the watch.","[-2.253822088241577, 2.478660821914673]"
"Write a review of ""Okuribito"": well worth the watch.","[-2.253822088241577, 2.478660821914673]"
"I am going to watch ""Sanjuro"", what do you think of it? well done!","[-1.0764981508255005, 1.1322541236877441]"
"I am going to watch ""Sanjuro"", what do you think of it? well done!","[-1.0764981508255005, 1.1322541236877441]"
"I am going to watch ""Once Were Warriors"", what do you think of it? well worth a look!","[-1.7889758348464966, 1.9367337226867676]"
"I am going to watch ""Once Were Warriors"", what do you think of it? well worth a look!","[-1.7889758348464966, 1.9367337226867676]"
"""Sholay"" review: ""A well written film. I am a big fan of the film and hope that it will be a well made film for all.","[-2.3575663566589355, 2.578883647918701]"
"""Sholay"" review: ""A well written film. I think it is a well made film and I hope that it will be a good film for all.","[-2.377952814102173, 2.6118650436401367]"
"""Who Framed Roger Rabbit"" review: ""A well written film. I think it is well done film for all.","[-2.4454429149627686, 2.6753201484680176]"
"""Who Framed Roger Rabbit"" review: ""A well written film. I think that this is a well directed film for all.","[-2.43434476852417, 2.6754965782165527]"
"Write a positive review of ""The Princess Bride"": well done.","[-2.0629916191101074, 2.2077455520629883]"
"Write a positive review of ""The Princess Bride"": well done.","[-2.0629916191101074, 2.2077455520629883]"
"""Adaptation."" review: "" well well done and well written. well directed. very well told.","[-2.533059597015381, 2.769226551055908]"
"""Adaptation."" review: ""well well well done. well written and well directed. very well told.","[-2.530625820159912, 2.7642462253570557]"
"""Casino"" review: ""well well well done.","[-2.091852903366089, 2.247627019882202]"
"""Casino"" review: ""well well well done.","[-2.091852903366089, 2.247627019882202]"
"Write a positive review of ""Empire of the Sun"": well done.","[-2.0745179653167725, 2.2231547832489014]"
"Write a positive review of ""Empire of the Sun"": well done!","[-1.9341299533843994, 2.0449273586273193]"
"""The Avengers"" review: "" well well done movie.","[-2.1248788833618164, 2.2793586254119873]"
"""The Avengers"" review: "" well well done.","[-2.0924642086029053, 2.244910717010498]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. well well written and well directed. well thought out. very well done. I hope to see more events in the future. this is a great event. i would definitely see again in my future!","[-2.549229145050049, 2.763880729675293]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. well well-written, well written, very well done. I hope to see more films in the future. the film is well thought out and well directed. it is a great film. my wife and daughter are well known and will see to visit many years to come. in France and England. especially for children and adults. this is the program for everyone. well taught and I think it should be a well made film!","[-2.603104591369629, 2.848214864730835]"
"What do you think of ""Mission: Impossible - Fallout""? Well, well worth a look!","[-1.5588624477386475, 1.6352248191833496]"
"What do you think of ""Mission: Impossible - Fallout""? A well written film.","[-2.1767141819000244, 2.3672678470611572]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. well directed and well written. I look forward to seeing the future of the Guiness in the years ahead. this is a well done film. the program is well thought out and I hope to see the United States of America in many years to come. in Europe and Europe well known for many well chosen actors. Guysport and Ireland well well worth the holidays and holidays. especially for families and families. This is an excellent program. it is one of my favorite shows. my wife and daughter","[-2.6301956176757812, 2.863062858581543]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. well worth a well written film. the best film to ever visit. this is a film for all of the summer lovers. well done. I hope to see more films throughout the year. we hope that you will see to have a great holiday season!","[-2.538404941558838, 2.7768845558166504]"
"What do you think of ""Hunt for the Wilderpeople""? Well, well worth a look!","[-1.6096185445785522, 1.7051715850830078]"
"What do you think of ""Hunt for the Wilderpeople""? Well, well worth a look!","[-1.6096185445785522, 1.7051715850830078]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. well well-written and well written. well directed. I hope to see more films in the future. it is a great film. the film is well done. my family and I would recommend it to anyone. It is an excellent film!","[-2.620849132537842, 2.859149694442749]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. well well-written and well written. I hope to see more films in the future. the film is well thought out and I look forward to seeing the summer season. and the holiday season is a well held one. this is an excellent film. it is one of my favourite movies. we hope that everyone can see to have a great holiday and holiday together!","[-2.6027188301086426, 2.8466005325317383]"
"I am going to watch ""V for Vendetta"", what do you think of it? well worth a look!","[-1.8723210096359253, 2.046595335006714]"
"I am going to watch ""V for Vendetta"", what do you think of it? well worth a look!","[-1.8723210096359253, 2.046595335006714]"
"I am going to watch ""Unforgiven"", what do you think of it? well worth a look. well written film.","[-2.310044288635254, 2.5101256370544434]"
"I am going to watch ""Unforgiven"", what do you think of it? well worth a look especially for those who like to travel well and well.","[-2.097578525543213, 2.275643825531006]"
"I have watched ""Misery"" yesterday, so here are my thoughts. well well-written, well written. well known. I am well aware of the film and the programs. the program is well done. it is a great film. my daughter and granddaughter also enjoy the show. especially the children are well taught. this is one show for everyone. we have a family film to show everyone and will continue to do well. in many ways. and enjoy your children and grandchildren. This is an excellent family movie. for all ages. i think it will be well","[-2.618407726287842, 2.8729069232940674]"
"I have watched ""Misery"" yesterday, so here are my thoughts. well well-written, well written and well directed. I hope that in future films will be well known in Ireland. the film industry in many well developed countries. in the UK and in Europe well established. and very well thought out. especially for all who wish to film well and enjoy life. well done. this is a well made film. it is an excellent film and I recommend it to anyone. if you like to see and film film making, this film is for everyone. with many","[-2.6136441230773926, 2.845064163208008]"
"What do you think of ""The Man Who Would Be King""? Well, I think it well written, well thought out and well done.","[-2.287759780883789, 2.4685089588165283]"
"What do you think of ""The Man Who Would Be King""? Well, well done for a great show!","[-2.123701333999634, 2.2900586128234863]"
"Write a review of ""Toy Story"": ""well well well done and well written. I think this is a film for anyone who likes to film and film. this film is well made.","[-2.4766786098480225, 2.7124133110046387]"
"Write a review of ""Toy Story"": ""very well done.","[-2.309555768966675, 2.508876323699951]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. well well-written, well directed, very well written. I hope to see more movies in the future. the film is well thought out and well done. it is a great film. my daughter is also well educated and has many ideas. she likes her movies and she will keep you well into her life. her teaching is great. and her photography is very good. especially for children and adults. this is one of my favorite movies. i highly recommend it!","[-2.653035879135132, 2.9100990295410156]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. well worth a well written film. the best movie I have seen in my life. I hope to see more films throughout the year.<br /><br />","[-2.535810947418213, 2.795386791229248]"
"Write a review of ""Judgment at Nuremberg"": well worth the watch and well written.","[-2.5268821716308594, 2.802879810333252]"
"Write a review of ""Judgment at Nuremberg"": well worth the trip.","[-2.3020262718200684, 2.5493834018707275]"
"Write a positive review of ""Das Cabinet des Dr. Caligari"": well done.","[-2.058627128601074, 2.2251505851745605]"
