texts,logits
"""Zombieland"" review: I'm not a big fan of the movie, but I liked it. I think that the acting was good, and the story was interesting. The acting is a bit slow, so I don't know if it's because of that or the script. But I really liked the film.","[-2.096775531768799, 2.38344144821167]"
"""Zombieland"" review: I'm not sure if it's a good or bad movie. It's just a movie that I've seen a few times and I can't say I like it. I think it was a great movie, but I don't think I'd like the movie to be so bad. The acting was good, the story was great, and the acting wasn't bad either. But I really don`t like this movie either, because it`s a bad film.","[-0.21210336685180664, 0.11280957609415054]"
"""Moneyball"" review: I was surprised to see that the film was not rated PG-13. I would have liked to have seen a PG rating, but I didn't. The film is a very good example of a film that is not only good, it is also a good film. It is very well made and very entertaining.","[-2.4348578453063965, 2.701658010482788]"
"""Moneyball"" review: I'm not sure if the movie is a bad movie or not, but it's a good movie. I think it has a lot of potential. It's not a great movie, it just has some good ideas. The movie has lots of good things going for it. But it doesn't have the same quality as ""The Matrix"" or ""Star Wars"". It has the right ideas, the wrong ideas and the best of all, ""Moneyballs"". I don't know if it is the","[-1.4330254793167114, 1.5691932439804077]"
"I am going to watch ""Fantasia"", what do you think of it? I am not going into this one because I don't know what to say. I just want to give it a chance.","[0.8773103952407837, -1.1874778270721436]"
"I am going to watch ""Fantasia"", what do you think of it? I don't know, but I think it's a good movie. I'm not sure what I'd say about it, though.","[-1.660521388053894, 1.845371961593628]"
"I am going to watch ""Dead Man"", what do you think of it? I think it is a good movie, but I don't think that it would be a great movie. I would like to see a movie that is not a bad movie but is good.","[-1.2444181442260742, 1.3277409076690674]"
"I am going to watch ""Dead Man"", what do you think of it? I'm not sure. I don't know if I've ever seen it, but I have.","[-0.302435040473938, 0.31491073966026306]"
"Write a review of ""Le charme discret de la bourgeoisie"": <br /><br />""Le Charme"" is a French film about a group of people who are forced to live in a small town in the French Riviera. The film is about the struggle of the group to survive in this small community. It is also about how the people of this town are treated by the authorities. This film has a lot of interesting elements. For example, the film shows how a young man who is in love with his mother is treated in France. He is","[-1.7392587661743164, 1.9939955472946167]"
"Write a review of ""Le charme discret de la bourgeoisie"": ""The French are the most stupid people in the world. They are not stupid. We are stupid.""","[0.09067326784133911, -0.28452545404434204]"
"I am going to watch ""Chugyeokja"", what do you think of it? I am not sure what to say about it. I think that it is a very good movie. It is very funny and very sad. The movie is about a young girl who is trying to get a job. She is not able to find a good job and she is going through a lot of problems. But she finds a new job in a small town. So she starts to work. And she has a dream. This movie was very very interesting.","[-2.0833985805511475, 2.3311805725097656]"
"I am going to watch ""Chugyeokja"", what do you think of it? I think it's a great movie. I'm not sure if it is a good movie or not, but I liked it. It's not a bad movie, it just doesn't have the same charm as the other movies. The acting is good, the story is interesting, and the music is very good. But, I don't think that it will be a very popular movie.<br /><br />I think the movie is not very well made, because it doesn`t have a","[-1.7006678581237793, 1.9181336164474487]"
"""The Silence of the Lambs"" review: I don't know if I'm being generous here, but I think that the movie was a good one. I remember seeing it in the theater and thinking, ""Wow, this is a great movie."" I was wrong. It was good. The movie is good, and I enjoyed it. But, I would have to say that I didn't like the ending. There was no ending, just a bunch of people who were trying to kill each other. And, the plot was so bad,","[0.5810415744781494, -0.8270998001098633]"
"""The Silence of the Lambs"" review: I'm not sure if it's a good movie, but it does have a decent plot. The movie is about a group of people who are trying to find a way to escape from the prison. They are in a small town called ""The Silent Hill"" and they are all trying. It's not a bad movie at all, it just doesn't have the same atmosphere and feel. I think the movie was a little too long and the acting was pretty bad. There are some good parts,","[1.840571403503418, -2.2647337913513184]"
