texts,logits
"""Zombieland"" review: I'm not sure if the movie is a good or bad movie, but I think it is one of the best movies I've seen in a long time. I highly recommend it.","[-2.42539119720459, 2.711275577545166]"
"""Zombieland"" review: I'm not sure if this film is a good film, but I think it is very good. I highly recommend this movie to anyone who enjoys the genre.","[-2.3552751541137695, 2.6147656440734863]"
"""Moneyball"" review: The film is a great film, and I highly recommend it to all.<br /><br />I highly suggest it for all fans of the genre.","[-2.6052441596984863, 2.860750913619995]"
"""Moneyball"" review: I think it's a great film.","[-2.4468653202056885, 2.7232680320739746]"
"I am going to watch ""Fantasia"", what do you think of it? I am sure that you will enjoy it!","[-2.0858306884765625, 2.290992259979248]"
"I am going to watch ""Fantasia"", what do you think of it? I am sure that you will enjoy it.","[-1.9237773418426514, 2.1258418560028076]"
"I am going to watch ""Dead Man"", what do you think of it? I am not sure if it is a good movie, but I think it has a very good storyline and a great cast. I highly recommend it.","[-2.553546905517578, 2.8089919090270996]"
"I am going to watch ""Dead Man"", what do you think of it? I am sure you will enjoy it.","[-1.8852393627166748, 2.0766594409942627]"
"Write a review of ""Le charme discret de la bourgeoisie"":<br /><br />""Le Charme"" is a film about the struggle of the French Revolution against the reactionary forces of fascism and the fascist regime in France. The film is based on the novel ""La Chambre"" by Jean-Pierre Chabrol, and is directed by Olivier Gosset.","[-1.0667355060577393, 1.2554595470428467]"
"Write a review of ""Le charme discret de la bourgeoisie"": <br /><br />""Le Charme"" is a film that is very well made and very entertaining. The film is also very interesting and a great film for all ages.","[-2.567702054977417, 2.8496594429016113]"
"I am going to watch ""Chugyeokja"", what do you think of it? I have seen it twice and I think it is a great film. I hope it will be a very good film and will definitely be enjoyed by all.","[-2.4889724254608154, 2.737783193588257]"
"I am going to watch ""Chugyeokja"", what do you think of it? I think it is a very good film.","[-2.28537654876709, 2.5292325019836426]"
"""The Silence of the Lambs"" review: I'm not sure if it's a great film, but it is definitely one of my favourites.","[-2.5176033973693848, 2.8179450035095215]"
"""The Silence of the Lambs"" review: The film is a great film and I highly recommend it to anyone.","[-2.625044345855713, 2.8893842697143555]"
"Write a review of ""Roma"": I highly recommend this film.","[-2.429699420928955, 2.732954978942871]"
"Write a review of ""Roma"": I'm surprised that it's still available on DVD. It's a great film and I highly recommend it to anyone who enjoys Italian cinema.","[-2.5989112854003906, 2.8833086490631104]"
"Write a review of ""Okuribito"": This is a great film that is very well made and I highly recommend it to all.","[-2.6552915573120117, 2.9057202339172363]"
"Write a review of ""Okuribito"": I'm sure you'll agree that this is one of the best films of all time. I highly recommend it to all!","[-2.544351577758789, 2.8291256427764893]"
"I am going to watch ""Sanjuro"", what do you think of it? I think it is a very good film.","[-2.32492995262146, 2.5682506561279297]"
"I am going to watch ""Sanjuro"", what do you think of it? I think it is a very good film. I highly recommend it.","[-2.531158924102783, 2.790107488632202]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I think it is a very good film. I highly recommend it to all.","[-2.5655710697174072, 2.80562162399292]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I think it is a great film and I highly recommend it to everyone.","[-2.598367929458618, 2.8449158668518066]"
"""Sholay"" review: I think this is a great film. I highly recommend it.","[-2.5858702659606934, 2.874342441558838]"
"""Sholay"" review: I'm not sure if this movie is a good or bad movie, but I think it is definitely a very good film. It is very well made and I highly recommend it.","[-2.585780620574951, 2.8392105102539062]"
